drug,adverse_event,report_count
vedolizumab,off label use,32249
dupilumab,pruritus,20807
vedolizumab,colitis ulcerative,19255
vedolizumab,diarrhoea,18758
dupilumab,dermatitis atopic,18172
vedolizumab,crohn's disease,17356
vedolizumab,abdominal pain,16597
dupilumab,injection site pain,13360
dupilumab,product use in unapproved indication,12263
dupilumab,rash,12083
tirzepatide,incorrect dose administered,11583
vedolizumab,haematochezia,11309
vedolizumab,fatigue,10570
vedolizumab,frequent bowel movements,10457
dupilumab,eczema,10344
dupilumab,condition aggravated,9359
vedolizumab,malaise,8709
dupilumab,drug ineffective,8300
vedolizumab,drug ineffective,8259
vedolizumab,blood pressure increased,8141
dupilumab,dry skin,7882
relugolix,hot flush,7744
vedolizumab,therapeutic reaction time decreased,7555
vedolizumab,product dose omission issue,7490
dupilumab,inappropriate schedule of product administration,7481
vedolizumab,arthralgia,7033
dupilumab,asthma,6845
dupilumab,accidental exposure to product,6838
dupilumab,exposure via skin contact,6789
vedolizumab,nausea,6749
human c1-esterase inhibitor,hereditary angioedema,6692
infliximab-dyyb,off label use,6311
somatropin,drug dose omission by device,6258
dupilumab,arthralgia,6133
treprostinil,cough,6115
relugolix,fatigue,6013
tirzepatide,nausea,5878
vedolizumab,inappropriate schedule of product administration,5872
dupilumab,dyspnoea,5861
vedolizumab,constipation,5819
treprostinil,dyspnoea,5777
dupilumab,product dose omission issue,5769
treprostinil,headache,5761
vedolizumab,headache,5322
vedolizumab,nasopharyngitis,5060
vedolizumab,vomiting,5002
human immunoglobulin g,headache,4976
human immunoglobulin g,fatigue,4970
dupilumab,incorrect dose administered,4955
albuterol sulfate,wrong technique in product usage process,4807
human immunoglobulin g,covid-19,4791
human immunoglobulin g,sinusitis,4784
dupilumab,erythema,4767
tirzepatide,injection site pain,4735
dupilumab,cough,4724
dupilumab,off label use,4712
albuterol sulfate,drug dose omission by device,4685
treprostinil,diarrhoea,4521
insulin glargine,off label use,4491
vedolizumab,stress,4447
vedolizumab,defaecation urgency,4395
human immunoglobulin g,product dose omission issue,4297
dupilumab,product dose omission in error,4265
dapagliflozin,death,4225
dupilumab,skin exfoliation,4197
vedolizumab,abdominal distension,4034
dupilumab,therapeutic response shortened,4007
tirzepatide,extra dose administered,4006
infliximab-dyyb,condition aggravated,3965
somatropin,device leakage,3926
human immunoglobulin g,inappropriate schedule of product administration,3891
vedolizumab,abdominal pain upper,3869
dupilumab,dry eye,3868
vedolizumab,rectal haemorrhage,3844
teduglutide,product dose omission issue,3824
dupilumab,injection site swelling,3812
treprostinil,nausea,3798
teduglutide,weight decreased,3782
vedolizumab,asthenia,3770
rituximab,off label use,3721
treprostinil,fatigue,3677
tirzepatide,diarrhoea,3652
dupilumab,sleep disorder due to a general medical condition,3581
vedolizumab,pyrexia,3532
vedolizumab,weight decreased,3520
teduglutide,diarrhoea,3515
vedolizumab,pneumonia,3504
treprostinil,dizziness,3458
human immunoglobulin g,pneumonia,3427
vedolizumab,dizziness,3416
dupilumab,rash erythematous,3371
somatropin,device breakage,3346
"antihemophilic factor, human recombinant",haemarthrosis,3341
human immunoglobulin g,pain,3296
vedolizumab,cough,3296
human immunoglobulin g,illness,3293
vedolizumab,abdominal discomfort,3282
semaglutide,nausea,3260
vedolizumab,covid-19,3244
tirzepatide,vomiting,3190
vedolizumab,heart rate increased,3177
vedolizumab,influenza,3154
dupilumab,injection site erythema,3115
albuterol sulfate,device delivery system issue,3107
infliximab,off label use,3107
lenalidomide,off label use,3103
lenalidomide,diarrhoea,3089
albuterol sulfate,no adverse event,3035
tislelizumab,myelosuppression,3023
vedolizumab,mucous stools,2993
dupilumab,headache,2938
human immunoglobulin g,nasopharyngitis,2915
vedolizumab,faeces soft,2913
human immunoglobulin g,nausea,2896
somatropin,device mechanical issue,2892
teduglutide,weight increased,2865
semaglutide,off label use,2833
dupilumab,pain,2827
human immunoglobulin g,malaise,2823
human immunoglobulin g,urinary tract infection,2820
evolocumab,device difficult to use,2808
copper,complication of device removal,2777
idursulfase,inappropriate schedule of product administration,2744
copper,device breakage,2741
human immunoglobulin g,infection,2741
human immunoglobulin g,fall,2722
guselkumab,product dose omission issue,2718
dupilumab,rebound effect,2700
lenalidomide,fatigue,2689
dupilumab,nasopharyngitis,2675
dupilumab,therapeutic response decreased,2665
emicizumab-kxwh,haemorrhage,2665
vedolizumab,pain,2652
"antihemophilic factor, human recombinant",haemorrhage,2649
abatacept,arthralgia,2646
ruxolitinib,off label use,2641
lutetium lu-177 vipivotide tetraxetan,general physical health deterioration,2619
vedolizumab,flatulence,2590
acetaminophen,exposure during pregnancy,2587
tirzepatide,drug ineffective,2572
albuterol sulfate,dyspnoea,2564
dupilumab,skin burning sensation,2554
human immunoglobulin g,pyrexia,2553
dupilumab,eye pruritus,2542
idursulfase,product dose omission issue,2528
dupilumab,fatigue,2520
vedolizumab,illness,2504
bimekizumab-bkzx,product dose omission issue,2489
pimavanserin tartrate,hallucination,2484
vedolizumab,poor venous access,2470
idursulfase,pyrexia,2440
copper,foreign body in reproductive tract,2429
vedolizumab,intestinal obstruction,2412
human immunoglobulin g,cough,2410
vedolizumab,fall,2394
icatibant acetate,hereditary angioedema,2382
vedolizumab,back pain,2376
vedolizumab,decreased appetite,2361
somatropin,device information output issue,2344
abatacept,joint swelling,2341
certolizumab pegol,rheumatoid arthritis,2336
lenalidomide,product dose omission issue,2336
lanadelumab,hereditary angioedema,2322
human immunoglobulin g,off label use,2278
tirzepatide,constipation,2274
teduglutide,nausea,2273
treprostinil,oxygen saturation decreased,2269
vedolizumab,oropharyngeal pain,2269
teduglutide,vascular device infection,2263
teduglutide,decreased appetite,2234
tirzepatide,accidental underdose,2224
nintedanib,diarrhoea,2223
human immunoglobulin g\hyaluronidase (human recombinant),inappropriate schedule of product administration,2222
fenfluramine,seizure,2220
dupilumab,nasal congestion,2211
teduglutide,abdominal pain,2179
omalizumab,urticaria,2157
human immunoglobulin g,dyspnoea,2156
vedolizumab,pregnancy,2140
human immunoglobulin g,influenza,2139
treprostinil,therapy non-responder,2134
vedolizumab,urinary tract infection,2127
vedolizumab,abdominal pain lower,2125
acetaminophen,toxicity to various agents,2122
